Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
33,The Lord of the Rings,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.52,Houghton Mifflin Harcourt,Paperback,1216,2005,1955,,2022/05/19,to-read,to-read (#18),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",0,4.22,Tor Books,Hardcover,444,2020,2020,,2022/05/19,to-read,to-read (#17),to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.83,Hogarth Press,Hardcover,273,2019,2018,,2022/05/19,to-read,to-read (#16),to-read,,,,0,0
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,"=""""","=""""",0,4.09,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,,2022/04/12,to-read,to-read (#15),to-read,,,,0,0
45297852,This Little Dark Place,A.S. Hatch,"Hatch, A.S.",,"=""1788162021""","=""9781788162029""",3,3.77,Serpent's Tail,Hardcover,288,2019,2019,,2022/04/01,,,read,,,,1,0
36613752,Pure Evil: Inside the Minds and Crimes of Britain’s Worst Criminals,Geoffrey Wansell,"Wansell, Geoffrey",,"=""0718189833""","=""9780718189839""",3,3.71,Penguin,Paperback,432,2018,,,2022/04/01,,,read,,,,1,0
18460392,All the Bright Places,Jennifer Niven,"Niven, Jennifer",,"=""0385755880""","=""9780385755887""",0,4.14,Knopf,Hardcover,378,2015,2015,,2021/08/02,to-read,to-read (#14),to-read,,,,0,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.39,Alfred A. Knopf,Hardcover,552,2006,2006,,2021/08/02,to-read,to-read (#13),to-read,,,,0,0
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #3)",Agatha Christie,"Christie, Agatha",Anders Mossling,"=""1579126278""","=""9781579126278""",0,4.26,Black Dog & Leventhal Publishers,Hardcover,288,2006,1926,,2021/08/02,to-read,to-read (#12),to-read,,,,0,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",0,4.33,Riverhead Books,Paperback,371,2004,2003,,2021/08/02,to-read,to-read (#11),to-read,,,,0,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.69,Penguin Books ,Paperback,182,1999,1954,,2021/08/02,to-read,to-read (#10),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",5,4.27,Harper Perennial Modern Classics ,Paperback,336,2006,1960,,2021/08/02,,,read,,,,1,0
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",0,4.21,Gallery Books,Paperback,288,1998,1936,,2021/08/02,to-read,to-read (#9),to-read,,,,0,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",0,4.28,Penguin Classics,Paperback,1276,2003,1844,,2021/08/02,to-read,to-read (#8),to-read,,,,0,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank, Fyodor Dostoyevsky","=""0143058142""","=""9780143058144""",0,4.25,Penguin,Paperback,671,2002,1866,,2021/08/02,to-read,to-read (#7),to-read,,,,0,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2021/08/02,to-read,to-read (#6),to-read,,,,0,0
168642,In Cold Blood,Truman Capote,"Capote, Truman",,"=""0679745580""","=""9780679745587""",0,4.08,Vintage,Paperback,343,1994,1965,,2021/08/02,to-read,to-read (#5),to-read,,,,0,0
5907,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",0,4.28,Houghton Mifflin,Paperback,366,2002,1937,,2018/07/18,to-read,to-read (#4),to-read,,,,0,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2018/07/18,to-read,to-read (#3),to-read,,,,0,0
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1250012570""","=""9781250012579""",0,3.97,St. Martin's Press,Hardcover,328,2013,2012,,2018/07/18,to-read,to-read (#2),to-read,,,,0,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",Ellen Karine Berg,"=""""","=""""",0,4.22,MTV Books/Pocket Books,Paperback,213,1999,1999,,2018/07/18,to-read,to-read (#1),to-read,,,,0,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",3,4.32,Scholastic Press,Hardcover,374,2008,2008,,2018/07/18,,,read,,,,1,0
